Altium Designer Pick and Place Locations
C:\Users\Shadow\Desktop\Repos\frm-mw-display\Project Outputs for Combined\AssemblyData\Pick and Place\Pick Place for ltk-mw-display(MAIN).txt

========================================================================================================================
File Design Information:

Date:       30/10/23
Time:       15:18
Revision:   7b611da51e4d80a422afe5d524f4894da2be3bbe
Variant:    MAIN
Units used: mil

Center-X(mil) Center-Y(mil) Comment              Description                                            Designator Footprint                            Layer    Rotation 
1351.684      807.017       100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R12B       RES_0603_1608                        TopLayer 270      
1351.686      1436.938      100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R12A       RES_0603_1608                        TopLayer 270      
1281.686      807.018       1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R11B       RES_0603_1608                        TopLayer 270      
1281.686      1436.938      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R11A       RES_0603_1608                        TopLayer 270      
1386.693      1051.103      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R10B       RES_0603_1608                        TopLayer 90       
1386.694      1681.024      10K                  "RES SMD 10K OHM 1% 1/10W 0603"                        R10A       RES_0603_1608                        TopLayer 90       
1766.694      1051.104      100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R9B        RES_0603_1608                        TopLayer 90       
1766.694      1681.024      100K                 "RES SMD 100K OHM 1% 1/10W 0603"                       R9A        RES_0603_1608                        TopLayer 90       
2263.780      2500.000      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8J        RES_1206_3216                        TopLayer 270      
2263.780      3602.362      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8I        RES_1206_3216                        TopLayer 270      
2263.780      4704.724      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8H        RES_1206_3216                        TopLayer 270      
2263.780      5807.084      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8G        RES_1206_3216                        TopLayer 270      
2263.780      6909.446      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8F        RES_1206_3216                        TopLayer 270      
1279.528      2500.000      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8E        RES_1206_3216                        TopLayer 270      
1279.528      3602.362      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8D        RES_1206_3216                        TopLayer 270      
1279.528      4704.724      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8C        RES_1206_3216                        TopLayer 270      
1279.528      5807.084      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8B        RES_1206_3216                        TopLayer 270      
1279.528      6909.446      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R8A        RES_1206_3216                        TopLayer 270      
2379.450      2759.685      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7J        RES_0603_1608                        TopLayer 270      
2379.450      3862.047      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7I        RES_0603_1608                        TopLayer 270      
2379.450      4964.409      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7H        RES_0603_1608                        TopLayer 270      
2379.450      6066.771      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7G        RES_0603_1608                        TopLayer 270      
2379.450      7169.134      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7F        RES_0603_1608                        TopLayer 270      
1395.198      2759.685      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7E        RES_0603_1608                        TopLayer 270      
1395.198      3862.047      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7D        RES_0603_1608                        TopLayer 270      
1395.198      4964.409      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7C        RES_0603_1608                        TopLayer 270      
1395.198      6066.771      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7B        RES_0603_1608                        TopLayer 270      
1395.198      7169.134      1K                   "RES SMD 1K OHM 1% 1/10W 0603"                         R7A        RES_0603_1608                        TopLayer 270      
2263.780      2775.590      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R6J        RES_1206_3216                        TopLayer 270      
2263.780      3877.952      499                  "RES SMD 499 OHM 1% 1/4W 1206"                         R6I        RES_1206_3216                        TopLayer 270      
